第1章 绯红,周明瑞,笔记本,轻纱,手枪,半睡半醒,墨迹,血手印,书桌,墨水瓶,太阳穴
第2章 情况,周明瑞,穿越,血污,键盘,方术,伤口,煤气灯,便士,书桌,毛巾
第3章 梅丽莎（第一更求推荐票）,周明瑞,梅丽莎,怀表,周日,学校,廷根技术学校,表盖,豌豆,面包,妹妹
第4章 占卜（第二更求推荐票）,周明瑞,纸币,斯林,温蒂,便士,面试,苏勒,海螺,手枪,廷根大学
第5章 仪式（第三更求推荐票）,周明瑞,占卜师,帐篷,纸牌,时而,驯兽师,福生,免费,洗牌,女子
第6章 非凡者,周明瑞,鬼鲨,阿尔杰,阁下,奥黛丽,少女,海眷者,配方,见证,该怎样
第7章 代号,周明瑞,阿尔杰,聚会,奥黛丽,塔罗牌,工具,主牌,二十二张,愚者,交感
第8章 新的时代,阿古希德,铁甲舰,阿尔杰,奥黛丽,安妮,普利兹号,大臣,首相,黄发,铜镜
第9章 笔记,土豆,笔记,黑麦面包,原主,韦尔奇,主食,娜娅,大碗,面试,自杀
第10章 常态,警官,蒙巴顿,比奇,韦尔奇,灰眸,娜娅,教授,副教授,很幸运,警察
第11章 真正的厨艺,羔羊肉,梅丽莎,豌豆,土豆,洋葱,厨艺,汁水,盘子,肉汁,胡萝卜
第12章 再次上门,韦尔奇,邓恩,警官,史密斯,住所,娜娅,灰眸,床板,马车夫,遗忘
第13章 值夜者,邓恩,史密斯,专家,在梦里,韦尔奇,邪教,掐死,行驶,笔记,战胜
第14章 通灵者,邓恩,戴莉,通灵者,艳蓝,韦尔奇,酒香,海面,史密斯,岛屿,四分之一
第15章 邀请,邓恩,文职人员,保密,史密斯,严格,文职者,中学,恐惧,路灯,更大
第16章 狗拿耗子,梅丽莎,道格,乌龟,莱特,贝西克街,酒馆,佣兵,邓恩,去哪里,押注
第17章 特殊行动部,女孩,棕发,邓恩,罗珊,合同,印章,契约,小组,查尼斯门,史密斯
第18章 起源和原因（第一更求推荐票）,衍化,邓恩,创世,路径,神话,烟斗,诞生,失控,服食,薄荷叶
第19章 封印物（第二更求推荐票）,邓恩,等级,文献,保密,轮换,圣堂,保存,专业人士,总部,中央教堂
第20章 健忘的邓恩（第三更求推荐票）,奥利安娜,尼尔,邓恩,罗珊,条子,太太,预支,史密斯,队长,猎魔
第21章 他乡遇故知,老尼尔,子弹,枪袋,三页,日记,腋下,他乡遇故知,弗洛纳尔夫人,罗塞尔大帝,手稿
第22章 序列起始,罗珊,很厉害,不眠者,队长,起始,戴莉,三十多个,告别,通灵者,附和
第23章 副手武器,店员,红马甲,便士,苏勒,梅丽莎,纸币,手杖,柜台,铁心木,找零
第24章 节俭持家,梅丽莎,科恩,赛琳娜,班森,便士,斯通,赛艇,小罐,面试,霍伊大学
第25章 教堂,科恩,报纸,主教,手杖,阿兹克,暗门,徽章,林荫道,副教授,收费员
第26章 练习,班森,牧师,币制,邓恩,子弹,练习,罗珊,转轮,靶子,中年
第27章 兄妹三人的晚餐,班森,梅丽莎,弗兰奇,布丁,柠檬,牛肉,姜啤,豌豆浓汤,大黄,兄妹
